,Course
0,AAS 10
1,AAS 11
2,AESE 279A
3,AESE 278C
4,AESE 241
5,AESE 278B
6,AIP 197P
7,AIP 197
8,AIP 197DC
9,ANAR 135
10,ANAR 121
11,ANAR 117
12,ANAR 100
13,ANAR 156
14,ANAR 167
15,ANBI 100
16,ANBI 134
17,ANBI 112
18,ANBI 136
19,ANBI 159
20,ANBI 120
21,ANBI 116
22,ANBI 143
23,ANES 299
24,ANES 402
25,ANES 403
26,ANES 401
27,ANES 296
28,ANES 410
29,ANES 496
30,ANSC 135
31,ANSC 164
32,ANSC 173
33,ANSC 139
34,ANSC 148
35,ANSC 184
36,ANSC 188
37,ANSC 100
38,ANSC 150
39,ANSC 125
40,ANSC 122
41,ANTH 246
42,ANTH 260
43,ANTH 23
44,ANTH 273
45,ANTH 281B
46,ANTH 202
47,ANTH 269
48,ANTH 200
49,ANTH 5
50,ANTH 500
51,ANTH 296
52,ANTH 196B
53,ANTH 280C
54,ANTH 45
55,ANTH 110
56,ANTH 280B
57,ANTH 298
58,ANTH 230
59,ANTH 106
60,ANTH 128A
61,ANTH 299
62,ANTH 279
63,ANTH 295
64,ANTH 107
65,ANTH 21
66,ANTH 87
67,ANTH 102
68,ANTH 111
69,AUD 291
70,AUD 284
71,AUD 236
72,AUD 276
73,AUD 263
74,AUD 278
75,AUD 296
76,AUD 298
77,AUD 299
78,AWP 3
79,AWP 10R
80,AWP 4A
81,BENG 119B
82,BENG 187C
83,BENG 148B
84,BENG 179B
85,BENG 278
86,BENG 202
87,BENG 130
88,BENG 123
89,BENG 294B
90,BENG 191
91,BENG 230B
92,BENG 139B
93,BENG 120
94,BENG 168
95,BENG 147B
96,BENG 103B
97,BENG 212
98,BENG 99H
99,BENG 281
100,BENG 126B
101,BENG 112A
102,BENG 140A
103,BENG 238
104,BENG 127B
105,BENG 161B
106,BENG 169B
107,BENG 128B
108,BENG 226
109,BENG 247B
110,BENG 149B
111,BENG 186B
112,BENG 225
113,BENG 152
114,BENG 196
115,BENG 501
116,BENG 129B
117,BENG 223
118,BENG 207
119,BENG 241B
120,BENG 292
121,BENG 299
122,BENG 291
123,BENG 1
124,BENG 181
125,BENG 298L
126,BENG 199
127,BGGN 237
128,BGGN 209
129,BGGN 246A
130,BGGN 293
131,BGGN 298
132,BGGN 228
133,BGGN 280
134,BGGN 299
135,BGGN 270
136,BGGN 207
137,BGGN 254
138,BGGN 285
139,BGGN 284
140,BGGN 206B
141,BGGN 290
142,BGGN 225
143,BGGN 271
144,BGGN 500
145,BGGN 211
146,BGGN 241
147,BGGN 253
148,BGGN 213
149,BGGN 249B
150,BGGN 283
151,BGGN 282
152,BGGN 227
153,BGJC 215
154,BGJC 204
155,BGRD 200
156,BGSE 205
157,BGSE 200
158,BIBC 194
159,BIBC 103
160,BIBC 100
161,BIBC 102
162,BICD 110
163,BICD 145
164,BICD 136
165,BICD 100
166,BIEB 152
167,BIEB 150
168,BIEB 140
169,BIEB 134
170,BIEB 128
171,BIEB 121
172,BIEB 166
173,BIEB 123
174,BIEB 194
175,BILD 87
176,BILD 26
177,BILD 2
178,BILD 62
179,BILD 4
180,BILD 12
181,BILD 22
182,BILD 99H
183,BILD 61
184,BILD 60
185,BILD 81
186,BILD 99
187,BILD 1
188,BILD 3
189,BILD 5
190,BIMM 114
191,BIMM 134
192,BIMM 121
193,BIMM 172
194,BIMM 101
195,BIMM 110
196,BIMM 100
197,BIMM 143
198,BIMM 181
199,BIMM 194
200,BIMM 120
201,BIOM 253
202,BIOM 218
203,BIOM 202
204,BIOM 255
205,BIOM 275
206,BIOM 277
207,BIOM 246
208,BIOM 200C
209,BIOM 295
210,BIOM 299
211,BIOM 288
212,BIOM 262
213,BIOM 203B
214,BIOM 242
215,BIOM 298
216,BIOM 256
217,BIPN 100
218,BIPN 134
219,BIPN 145
220,BIPN 154
221,BIPN 102
222,BIPN 105
223,BIPN 160
224,BIPN 108
225,BIPN 194
226,BIPN 140
227,BISP 182
228,BISP 193
229,BISP 194
230,BISP 197
231,BISP 195
232,BISP 199
233,BNFO 298
234,BNFO 294
235,BNFO 281
236,BNFO 299
237,BNFO 262
238,BNFO 500
239,BNFO 283
240,CAT 500
241,CAT 125R
242,CAT 2CE
243,CAT 124
244,CAT 2
245,CAT 125
246,CCE 1
247,CCS 102
248,CCS 123
249,CENG 299
250,CENG 102
251,CENG 213
252,CENG 101B
253,CENG 134
254,CENG 221B
255,CENG 215
256,CENG 252
257,CENG 101A
258,CENG 15
259,CENG 124A
260,CENG 205
261,CENG 114
262,CENG 199
263,CENG 251
264,CENG 256
265,CENG 176A
266,CGS 199
267,CGS 119
268,CGS 105
269,CGS 2B
270,CGS 101
271,CGS 108
272,CGS 125
273,CGS 196A
274,CGS 123
275,CGS 111
276,CGS 113
277,CGS 500
278,CGS 299
279,CHEM 291
280,CHEM 264
281,CHEM 172
282,CHEM 254
283,CHEM 168
284,CHEM 229
285,CHEM 7L
286,CHEM 120A
287,CHEM 6A
288,CHEM 40B
289,CHEM 212
290,CHEM 126B
291,CHEM 143B
292,CHEM 227
293,CHEM 294
294,CHEM 6B
295,CHEM 199
296,CHEM 6C
297,CHEM 40A
298,CHEM 41A
299,CHEM 158
300,CHEM 1
301,CHEM 155
302,CHEM 255
303,CHEM 258
304,CHEM 219C
305,CHEM 100B
306,CHEM 41B
307,CHEM 134
308,CHEM 223
309,CHEM 100A
310,CHEM 299
311,CHEM 131
312,CHEM 105A
313,CHEM 164
314,CHEM 11
315,CHEM 114C
316,CHEM 200B
317,CHEM 261
318,CHEM 6BH
319,CHEM 114B
320,CHEM 187
321,CHEM 262
322,CHEM 280
323,CHEM 115
324,CHEM 231
325,CHEM 232A
326,CHEM 215
327,CHEM 108
328,CHEM 151
329,CHEM 114A
330,CHEM 213B
331,CHEM 298
332,CHEM 109
333,CHEM 194
334,CHEM 43A
335,CHEM 154
336,CHIN 100BN
337,CHIN 182A
338,CHIN 169A
339,CHIN 100BM
340,CHIN 500
341,CHIN 10BN
342,CHIN 20BD
343,CHIN 10BM
344,CHIN 10BD
345,CHIN 20BN
346,CLAS 196B
347,CLAS 87
348,CLAS 109
349,CLAS 196A
350,CLIN 227B
351,CLIN 228
352,CLIN 296
353,CLIN 294B
354,CLIN 227A
355,CLRE 259
356,CLRE 263
357,CLRE 236R
358,CLRE 237
359,CLRE 297
360,CLRE 253
361,CLRE 250R
362,CLRE 260
363,CLRE 234
364,CLRE 295B
365,CMM 246
366,COGR 201D
367,COGR 280
368,COGR 294
369,COGR 500
370,COGR 225C
371,COGR 298
372,COGR 275
373,COGR 299
374,COGR 200C
375,COGR 225D
376,COGS 181
377,COGS 118C
378,COGS 500
379,COGS 211B
380,COGS 9
381,COGS 194
382,COGS 123
383,COGS 200
384,COGS 99H
385,COGS 199
386,COGS 193
387,COGS 118B
388,COGS 195
389,COGS 111
390,COGS 101A
391,COGS 197
392,COGS 101B
393,COGS 187B
394,COGS 190B
395,COGS 108
396,COGS 2
397,COGS 229
398,COGS 260
399,COGS 18
400,COGS 160
401,COGS 290
402,COGS 17
403,COGS 210B
404,COGS 156
405,COGS 10
406,COGS 198
407,COGS 165
408,COGS 172
409,COGS 298
410,COGS 13
411,COGS 14A
412,COGS 163
413,COGS 205
414,COGS 87
415,COGS 177
416,COGS 1
417,COGS 8
418,COGS 100
419,COGS 14B
420,COGS 107B
421,COGS 150
422,COGS 153
423,COGS 299
424,COGS 11
425,COGS 164
426,COMM 111B
427,COMM 106F
428,COMM 127
429,COMM 140
430,COMM 101N
431,COMM 109N
432,COMM 100B
433,COMM 115
434,COMM 80
435,COMM 180
436,COMM 114T
437,COMM 10
438,COMM 124A
439,COMM 101A
440,COMM 101D
441,COMM 194
442,COMM 196B
443,COMM 111G
444,COMM 101K
445,COMM 20
446,COMM 171
447,COMM 190
448,COMM 109D
449,COMM 158
450,COMM 101
451,COMM 160
452,COMM 113T
453,COMM 102C
454,COMM 139
455,COMM 102B
456,COMM 131
457,COMM 108D
458,CSE 169
459,CSE 210
460,CSE 191
461,CSE 90
462,CSE 151B
463,CSE 202
464,CSE 8B
465,CSE 219
466,CSE 30
467,CSE 197
468,CSE 95
469,CSE 257
470,CSE 251U
471,CSE 123
472,CSE 15L
473,CSE 284
474,CSE 11
475,CSE 599
476,CSE 99H
477,CSE 190
478,CSE 232B
479,CSE 282
480,CSE 290
481,CSE 87
482,CSE 142
483,CSE 152A
484,CSE 198
485,CSE 105
486,CSE 199
487,CSE 299
488,CSE 207A
489,CSE 12
490,CSE 100R
491,CSE 160
492,CSE 140L
493,CSE 272
494,CSE 273
495,CSE 120
496,CSE 203B
497,CSE 127
498,CSE 21
499,CSE 107
500,CSE 148
501,CSE 251A
502,CSE 91
503,CSE 252B
504,CSE 270
505,CSE 151A
506,CSE 229A
507,CSE 291
508,CSE 240A
509,CSE 6R
510,CSE 101
511,CSE 229C
512,CSE 239B
513,CSE 280A
514,CSE 132A
515,CSE 142L
516,CSE 167
517,CSE 110
518,CSE 206A
519,CSE 251B
520,CSE 500
521,CSE 221
522,CSE 130
523,CSE 140
524,CSE 234
525,CSE 294
526,CSE 293
527,CSE 240B
528,CSE 181
529,CSE 132C
530,CSE 298
531,CSE 8A
532,CSE 20
