Code,Department,Title,Units,Description,Prerequisites,Level,URL
AIP 97,AIP,Academic Internship,"2, 4","Individual placements for field learning. Must be integrated with an academic discipline. A written contract involving all parties will include learning objectives, a paper/project outline, and means of supervision and progress evaluation. May be taken for credit up to three times.","lower-division standing, completion of thirty units of UC San Diego undergraduate study, a minimum UC San Diego GPA of 3.0, and a completed and approved Learning Agreement for Special Studies.",Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AIP+97
AIP 197,AIP,Academic Internship Program,"2, 4, 6, 8, 10, 12","Individual internship placements integrated with an academic discipline. A written contract involving all parties will include learning objectives, a paper/project outline, and means of supervision and progress evaluation. Consent of faculty adviser and program chair required. May be taken for credit up to three times for a maximum of sixteen units.",upper-division standing; department approval.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AIP+197
AIP 197DC,AIP,"UCDC: Washington, DC Internship","6, 8, 10","This internship is attached to the University of California, Washington Center programs. Students participating in the campus UCDC program secure internships in the Washington, DC area requiring 18–30 hours per week. Students must be enrolled in the UCDC program.",upper-division standing; department approval.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AIP+197DC
AIP 197P,AIP,Public Service Internship,"4, 8, 12","Individual placements for field learning performed in nonprofit organizations or government agencies dedicated to providing services in the areas of education, government, social issues, and health. May be taken for credit up to three times for a maximum of twelve units. Contract completed prior to start of internship will include intellectually unified expectations and means of supervision. Faculty member and student will meet regularly.",ninety units completed; 2.5 minimum cumulative GPA; department approval.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AIP+197P
AIP 197T,AIP,Academic Internship Program—Special Programs,2,"Individual placements for field learning associated with UC San Diego partnerships and special programs. A written contract involving all parties will include learning objectives, a paper/project outline, and means of supervision and progress evaluation. Consent of faculty adviser and program chair required.",ninety units minimum completed; 2.5 minimum cumulative GPA; department approval.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AIP+197T
AAS 10,AAS,Introduction to African American Studies,4,"This course will cover the experiences of peoples of African descent in the U.S. and broader African Diaspora from the vantage points of cultural production, political practice, socioeconomic conditions, and the overall struggle for social justice along intersecting lines of race, gender, and class. Topics reviewed include slavery (and slave rebellion), Reconstruction, Jim Crow apartheid, the Great Migration and Harlem Renaissance, and the Civil Rights and Black Power Movements.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AAS+10
AAS 87,AAS,First-year Student Seminar,1,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to 15-20 students. Enrollment priority will be given to first-year students. Seminars are open to sophomores, juniors and seniors on a space available basis. P/NP grades only. May be taken for credit four times.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AAS+87
AAS 185,AAS,#BlackLivesMatter,4,"(Cross-listed with ANSC 185.) This seminar traces the historical roots and growth of the Black Lives Matter social movement in the United States and comparative global contexts. Occupy Wall Street, protests against the prison industrial complex, black feminist, and LGBTQ intersectionality are explored in the context of millennial and post-millennial youth as the founders of this movement. Students may not receive credit for AAS 185 and ANSC 185.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AAS+185
ANSC 185,ANSC,#BlackLivesMatter,4,"(Cross-listed with ANSC 185.) This seminar traces the historical roots and growth of the Black Lives Matter social movement in the United States and comparative global contexts. Occupy Wall Street, protests against the prison industrial complex, black feminist, and LGBTQ intersectionality are explored in the context of millennial and post-millennial youth as the founders of this movement. Students may not receive credit for AAS 185 and ANSC 185.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANSC+185
AAS 190,AAS,Special Topics in African American Studies,1–4,"This course will explore specialized, relevant topics in the field of African American studies. Course topics will vary from quarter to quarter, so it may be repeated up to three times as long as the quarterly topics vary.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AAS+190
