Query,Class Code,Course Title,Course Description,Relevance,Ranking (position)
2d art,LTSP 2D,Intermediate Spanish I: Spanish for Bilingual Speakers,Spanish for native speakers. Designed for bilingual students seeking to become biliterate. Reading and writing skills stressed with special emphasis on improvement of written expression and problems of grammar and orthography. Prepares native speakers with little or no formal training in Spanish for more advanced courses.,0,1
2d art,PHYS 2D,Physics—Relativity and Quantum Physics,"A modern physics course covering atomic view of matter, electricity and radiation, atomic models of Rutherford and Bohr, relativity, X-rays, wave and particle duality, matter waves, Schrödinger’s equation, atomic view of solids, natural radioactivity.",0,2
2d art,SE 7,Spatial Visualization,"Spatial visualization is the ability to manipulate 2D and 3D shapes in one’s mind. In this course, students will perform exercises that increase their spatial visualization skills. P/NP grades only. Students may not receive credit for SE 7 and MAE 7.",0,3
2d art,VIS 23,Seminar in Art History Methods,"This course, a lower-division seminar for art history majors, covers the research tools and fundamental skills needed for advanced work in the field. Topics include descriptive and analytical writing; revision and peer review; compiling annotated bibliographies with traditional and online resources, indexes, and databases; evaluating source materials (including those found online); defining research programs; and preparing and delivering art history presentations.",0,4
2d art,SE 3,Graphical Communication for Engineering Design,"Use of computer graphics (CAD software) to communicate engineering designs. Includes visualization, sketching, 2D and 3D graphics standards, dimensioning, tolerance, assemblies, and prototyping/testing with light manufacturing methods. Project/system management software, i.e., building information modeling (BIM), will be introduced. Use of computer resources.",1,5
accounting,MGT 45,Principles of Accounting,"Covers the principles, methods and applications of general accounting, cost accounting and investment ROI. Development of the three key financial reports and their interrelations, cost identification, product costing, inventory control, operational performance, and investment return",1,1
accounting,ECON 4,Financial Accounting,"(Cross-listed with MGT 4.) Recording, organizing, and communicating financial information relating to business entities. Credit not allowed for both ECON 4 and MGT 4.",1,2
accounting,MGT 4,Financial Accounting,"Cross-listed with ECON 4. Recording, organizing, and communicating financial information to business entities.",1,3
accounting,MGT 5,Managerial Accounting,"Internal accounting fundamentals, including cost behavior, cost application methods, overhead allocation methods, break-even analysis, budgeting, cost variance analysis, inventory management, and capital budgeting.",1,4
accounting,MGT 404,Accounting,"Through lecture and online delivery, students will be introduced to the basic concepts and methods used in financial statements. The course highlights the linkages between accounting information and management planning, decision making, and control. Letter grades only.",1,5
