Query,Class Code,Ranking (position),Relevance
2d art,NO RESULTS,1,0
2d art,NO RESULTS,2,0
2d art,NO RESULTS,3,0
2d art,NO RESULTS,4,0
2d art,NO RESULTS,5,0
accounting,MGT 45,1,1
accounting,MGT 138,2,1
accounting,MGTP 422,3,1
accounting,MGT 143,4,1
accounting,MGT 147,5,1
acting,TDAC 101,1,1
acting,TDGE 105,2,1
acting,TDGR 233,3,1
acting,POLI 102D,4,0
acting,TDAC 1,5,1
advance biological topics,ANTH 212,1,1
advance biological topics,PSYC 255A,2,1
advance biological topics,BGGN 285,3,1
advance biological topics,PSYC 255B,4,1
advance biological topics,PSYC 255C,5,1
advanced machine learning methods,COGS 185,1,1
advanced machine learning methods,NO RESULTS,2,0
advanced machine learning methods,NO RESULTS,3,0
advanced machine learning methods,NO RESULTS,4,0
advanced machine learning methods,NO RESULTS,5,0
ai,NO RESULTS,1,0
ai,NO RESULTS,2,0
ai,NO RESULTS,3,0
ai,NO RESULTS,4,0
ai,NO RESULTS,5,0
algae,NO RESULTS,1,0
algae,NO RESULTS,2,0
algae,NO RESULTS,3,0
algae,NO RESULTS,4,0
algae,NO RESULTS,5,0
algebra,MATH 201A,1,1
algebra,MATH 202A,2,1
algebra,MATH 202B,3,1
algebra,MATH 202C,4,1
algebra,MATH 208,5,0
algos,NO RESULTS,1,0
algos,NO RESULTS,2,0
algos,NO RESULTS,3,0
algos,NO RESULTS,4,0
algos,NO RESULTS,5,0
analytics,MGTA 451,1,1
analytics,MGT 454A,2,1
analytics,MGT 454B,3,1
analytics,MGT 454,4,1
analytics,POLI 137,5,1
animal,BIEB 166,1,1
animal,PSYC 122,2,1
animal,CSE 169,3,0
animal,COGS 143,4,1
animal,BGGN 226,5,1
aquarium,SIO 197BA,1,1
aquarium,NO RESULTS,2,0
aquarium,NO RESULTS,3,0
aquarium,NO RESULTS,4,0
aquarium,NO RESULTS,5,0
archaeology,ANTH 3,1,1
archaeology,ANAR 105,2,1
archaeology,ANAR 180,3,1
archaeology,ANAR 121,4,1
archaeology,ANAR 118,5,1
art,EDS 145,1,1
art,VIS 127P,2,1
art,VIS 141A,3,1
art,CAT 1,4,1
art,VIS 1,5,1
artificial intelligence,CSE 259,1,1
artificial intelligence,LTCS 108,2,1
artificial intelligence,COGS 188,3,1
artificial intelligence,CGS 108,4,1
artificial intelligence,CSE 150A,5,1
asia,ANSC 165,1,1
asia,GPIM 427,2,1
asia,GPPA 470,3,1
asia,HILD 10,4,1
asia,HILD 11,5,1
astronomy,PHYA 296,1,1
astronomy,PHYA 299,2,1
astronomy,PHYA 200,3,1
astronomy,PHYA 298,4,1
astronomy,NO RESULTS,5,0
audio,ANTH 261,1,1
audio,MUS 174B,2,1
audio,MUS 174C,3,1
audio,MUS 270A,4,1
audio,COMM 102B,5,1
autonomous vehicles,ECE 148,1,1
autonomous vehicles,MAE 148,2,1
autonomous vehicles,NO RESULTS,3,0
autonomous vehicles,NO RESULTS,4,0
autonomous vehicles,NO RESULTS,5,0
baseball,NO RESULTS,1,0
baseball,NO RESULTS,2,0
baseball,NO RESULTS,3,0
baseball,NO RESULTS,4,0
baseball,NO RESULTS,5,0
basket weaving,NO RESULTS,1,0
basket weaving,NO RESULTS,2,0
basket weaving,NO RESULTS,3,0
basket weaving,NO RESULTS,4,0
basket weaving,NO RESULTS,5,0
bayes theorem,NO RESULTS,1,0
bayes theorem,NO RESULTS,2,0
bayes theorem,NO RESULTS,3,0
bayes theorem,NO RESULTS,4,0
bayes theorem,NO RESULTS,5,0
biochemistry,CHEM 212,1,1
biochemistry,CHEM 219B,2,1
biochemistry,CHEM 295,3,1
biochemistry,CHEM 219C,4,1
biochemistry,BIBC 102,5,1
bioinformatics,BNFO 283,1,1
bioinformatics,CHEM 280,2,1
bioinformatics,BIMM 143,3,1
bioinformatics,BENG 202,4,1
