Query,Class Code,Class Title,Class Description
2d art,VIS 1,Introduction to Art Making: Two-Dimensional Practices,"An introduction to the concepts and techniques of two-dimensional art making with an emphasis on drawing. Lectures and studio classes will introduce skills and concepts of contemporary drawing practice in relation to a variety of genres such as illustration, comics, advertising, animation, and other forms of visualization. This course is offered only one time each year."
2d art,VIS 106A,Painting: Image Making,"A studio course focusing on problems inherent in painting—transferring information and ideas onto a two-dimensional surface, color, composition, as well as manual and technical procedures. These concepts will be explored through the use of models, still life, and landscapes."
2d art,VIS 2,Introduction to Art Making: Motion and Time-Based Art,"An introduction to art making utilizing the transaction between people, objects, situations, and media. Includes both critical reflection on relevant aspects of modern and contemporary art practices (Marina Abramovic, Allen Kaprow, Adrian Piper, James Luna, Stelarc, Ron Athey, conceptual art, performance art, new media art, etc.) and practical experience in a variety of artistic exercises. This course is offered only one time each year."
2d art,VIS 105A,Drawing: Representing the Subject,"A studio course in beginning drawing covering basic drawing and composition. These concepts will be introduced by the use of models, still life, landscapes, and conceptual projects."
2d art,VIS 3,Introduction to Art Making: Three-Dimensional Practices,An introduction to art making that uses as its base the idea of the “conceptual.” The lecture exists as a bank of knowledge about various art world and nonart world conceptual plays. The studio section attempts to incorporate these ideas into individual and group projects using any “material.” This course is offered only one time each year.
accounting,MGT 404,Accounting,"Through lecture and online delivery, students will be introduced to the basic concepts and methods used in financial statements. The course highlights the linkages between accounting information and management planning, decision making, and control. Letter grades only."
accounting,MGTF 401,Financial Accounting,"Overview of financial accounting reporting, with a primary focus on the analysis of economic events and their effect on the major financial statements (balance sheet, income statement, and statement of cash flows). Learn the nature and purpose of accounting methods. Letter grades only. Students may not receive credit for both MGTF 401 and MGT 404."
accounting,MGT 4,Financial Accounting,"Cross-listed with ECON 4. Recording, organizing, and communicating financial information to business entities."
accounting,ECON 4,Financial Accounting,"(Cross-listed with MGT 4.) Recording, organizing, and communicating financial information relating to business entities. Credit not allowed for both ECON 4 and MGT 4."
accounting,MGT 138,Information Technology and Accounting,"This course provides an introduction to the role and use of models and modeling in managerial decision-making. Students will gain hands-on experience in evaluating accounting data using Microsoft Excel. Content includes creating data boxes in financial accounting, using multiple sheets with formulas, preparing professional quality financial reports, and creating graphs to interpret business results. Students will also explore the utility of QuickBooks and the functionality for small businesses."
acting,TDAC 101,Acting I,This course focuses on beginning scene study with an emphasis on exploring action/objective and the given circumstances of a selected text.
acting,TDAC 1,Introduction to Acting,"A beginning course in the fundamentals of acting: establishing a working vocabulary and acquiring the basic skills of the acting process. Through exercises, compositions, and improvisations, the student actor explores the imagination as the actor’s primary resource, and the basic approach to text through action."
acting,TDGR 233,Acting for the Camera,This course is designed to aid the actor in the transition from stage to film work. Examination of film production and its physical characteristics and the acting style needed for work in film and television. Students will rehearse and perform in simulated studio setting.
acting,TDDR 111,Directing-Acting Process,"A studio class that investigates the fundamental skills a director needs to work with actors. Working with actors, students learn how to animate the text onstage through status exercises and scene work as they develop their skill in text work, staging, and dramatic storytelling."
acting,TDAC 110,Acting for the Camera,This course is designed to aid the actor in the transition from stage to film work. Examination of film production and its physical characteristics and the acting style needed for work in film and television. Students will perform in simulated studio setting on camera.
advance biological topics,BISP 194,Advanced Topics in Modern Biology,"Course will vary in title and content. Students are expected to actively participate in course discussions, read, and analyze primary literature. Current descriptions and subtitles may be found on the Schedule of Classes and the School of Biological Sciences website. Students may receive credit in 194 courses a total of four times as topics vary. Students may not receive credit for the same topic."
