,0,1,2,3
0,2d art,LTSP 2D,Intermediate Spanish I: Spanish for Bilingual Speakers,Spanish for native speakers. Designed for bilingual students seeking to become biliterate. Reading and writing skills stressed with special emphasis on improvement of written expression and problems of grammar and orthography. Prepares native speakers with little or no formal training in Spanish for more advanced courses.
1,2d art,PHYS 2D,Physics—Relativity and Quantum Physics,"A modern physics course covering atomic view of matter, electricity and radiation, atomic models of Rutherford and Bohr, relativity, X-rays, wave and particle duality, matter waves, Schrödinger’s equation, atomic view of solids, natural radioactivity."
2,2d art,SE 7,Spatial Visualization,"Spatial visualization is the ability to manipulate 2D and 3D shapes in one’s mind. In this course, students will perform exercises that increase their spatial visualization skills. P/NP grades only. Students may not receive credit for SE 7 and MAE 7."
3,2d art,VIS 23,Seminar in Art History Methods,"This course, a lower-division seminar for art history majors, covers the research tools and fundamental skills needed for advanced work in the field. Topics include descriptive and analytical writing; revision and peer review; compiling annotated bibliographies with traditional and online resources, indexes, and databases; evaluating source materials (including those found online); defining research programs; and preparing and delivering art history presentations."
4,2d art,SE 3,Graphical Communication for Engineering Design,"Use of computer graphics (CAD software) to communicate engineering designs. Includes visualization, sketching, 2D and 3D graphics standards, dimensioning, tolerance, assemblies, and prototyping/testing with light manufacturing methods. Project/system management software, i.e., building information modeling (BIM), will be introduced. Use of computer resources."
5,accounting,MGT 45,Principles of Accounting,"Covers the principles, methods and applications of general accounting, cost accounting and investment ROI. Development of the three key financial reports and their interrelations, cost identification, product costing, inventory control, operational performance, and investment return"
6,accounting,ECON 4,Financial Accounting,"(Cross-listed with MGT 4.) Recording, organizing, and communicating financial information relating to business entities. Credit not allowed for both ECON 4 and MGT 4."
7,accounting,MGT 4,Financial Accounting,"Cross-listed with ECON 4. Recording, organizing, and communicating financial information to business entities."
8,accounting,MGT 5,Managerial Accounting,"Internal accounting fundamentals, including cost behavior, cost application methods, overhead allocation methods, break-even analysis, budgeting, cost variance analysis, inventory management, and capital budgeting."
9,accounting,MGT 404,Accounting,"Through lecture and online delivery, students will be introduced to the basic concepts and methods used in financial statements. The course highlights the linkages between accounting information and management planning, decision making, and control. Letter grades only."
10,acting,TDGE 5,A Glimpse into Acting,"An introductory course on acting fundamentals for students without an acting background. Through analysis of acting on film, students will explore the actor’s craft and practice these skills in studio exercises to better understand how an actor approaches a text."
11,acting,TDAC 1,Introduction to Acting,"A beginning course in the fundamentals of acting: establishing a working vocabulary and acquiring the basic skills of the acting process. Through exercises, compositions, and improvisations, the student actor explores the imagination as the actor’s primary resource, and the basic approach to text through action."
12,acting,TDGE 105,Exploring Acting,"An acting course for nonmajors, building on the acting fundamentals developed in TDGE 5. Using analysis of film acting to practice in studio exercises and scene work, student actors learn to approach a text using imagination as their primary tool."
13,acting,TDGE 100,Creating the Role of “Leader”,"Acting and leadership require “choices” to play a role. The role of leader requires authenticity, collaboration, listening, presence, vision, and influence. Students will explore characteristics of strong leaders, and utilizing traditional acting techniques build powerful capabilities of leadership. No prior theatre/acting experience needed."
14,acting,TDAC 108,Advanced Topics,"Advanced topics in acting, such as avant-garde drama, commedia, or Beckett, for students who possess basic acting techniques. May be taken for credit four times."
15,advance biological topics,BILD 92,Professional Development Topics in the Biological Sciences,"Seminars will introduce students to various professional development topics in the biological sciences. Emphasis may include current research in academe and industry, using campus and community resources to help achieve academic, personal and professional goals, and career exploration. Activities may include presentations by faculty, alumni, and practicing professional biologists, as well as panel discussions with professionals from industry."
16,advance biological topics,HDS 95,Career Development Seminar,"This course is centered on conceptual understanding of career development as a lifespan process, with an emphasis on application to student’s individual academic development and career readiness competencies. Includes practical training with professional skills, networking, and career research. The course concludes with a career action plan to help students advance academic and career goals. Cannot be used toward HDS major credit."
17,advance biological topics,ANTH 212,Advanced Topics in Biological Anthropology,A critical exploration of timely and/or controversial topics in biological anthropology. Course will vary in title and content.
18,advance biological topics,ANBI 100,Special Topics in Biological Anthropology,"Course usually taught by visiting faculty in biological anthropology. Course will vary in title and content. When offered, the current description and title is found in the current Schedule of Classes and the Department of Anthropology website. May be taken for credit four times as topics vary."
19,advance biological topics,NEUG 221,Advanced Topics in Neurosciences,Specialized advanced topic areas in neurosciences will be addressed in an interactive seminar course format. A different specific topic will be considered each quarter as announced in advance. Students will each present an aspect of the topic area and participate in discussions.
20,advanced machine learning methods,COGS 185,Advanced Machine Learning Methods,This course is an advanced seminar and project course that follows the introduction to machine learning courses. Advanced and new machine learning methods will be discussed and used.
21,advanced machine learning methods,ECE 175A,Elements of Machine Intelligence: Pattern Recognition and Machine Learning,Introduction to pattern recognition and machine learning. Decision functions. Statistical pattern classifiers. Generative vs. discriminant methods for pattern classification. Feature selection. Regression. Unsupervised learning. Clustering. Applications of machine learning.
22,advanced machine learning methods,SE 132,Machine Learning for Structural Engineering,"This course aims at introducing concepts of machine learning and its applications to structural engineering. Theory behind popular machine learning algorithms will be discussed, including supervised learning, unsupervised learning, and deep learning. Topics include regression, classification, support vector machines, clustering, tree-based methods, model selections and regularizations, cross-validation and bootstrapping, neural networks, and Python programming."
23,advanced machine learning methods,DSC 240,Machine Learning,"A graduate level course in machine learning algorithms: decision trees, principal component analysis, k-means, clustering, logistic regression, random forests, boosting, neural networks, kernel methods, deep learning."
24,advanced machine learning methods,MATH 181D,Statistical Learning,"Statistical learning refers to a set of tools for modeling and understanding complex data sets. It uses developments in optimization, computer science, and in particular machine learning. This encompasses many methods such as dimensionality reduction, sparse representations, variable selection, classification, boosting, bagging, support vector machines, and machine learning."
25,ai,VIS 6,"Race, Gender, and Robots","We will look at works that present androids, cyborgs, and AI as an emergent “other” in media. Examining science fiction films and media, students look critically at how race and gender are represented. Through the lens of feminist and antiracist scholarship, the course presents critical understandings of android/AI stories and their cultural implications. Special emphasis throughout the course will be placed on how such stories remake troubling histories and anxieties about race and gender."
26,ai,COGS 186,Genetic Algorithms,"This course will teach in detail some of the key biology-inspired AI algorithms. It will cover genetic algorithms (GA), particle swarm optimization algorithms (PSO), and other optimization algorithms like simulated annealing and gradient descent."
27,ai,CSE 150B,Introduction to Artificial Intelligence: Search and Reasoning,"The course will introduce important ideas and algorithms in search and reasoning and demonstrate how they are used in practical AI applications. Topics include A* search, adversarial search, Monte Carlo tree search, reinforcement learning, constraint solving and optimization, propositional and first-order reasoning."
28,ai,CSE 156,Statistical Natural Language Processing,"Natural language processing (NLP) is a field of AI which aims to equip computers with the ability to intelligently process natural (human) language. This course will explore statistical techniques for the automatic analysis of natural language data. Specific topics covered include probabilistic language models, which define probability distributions over text passages; text classification; sequence models; parsing sentences into syntactic representations; and machine translation."
29,ai,MAE 244,Renewable Energy Integration,"The objective of this course is to introduce students to the research field of integration of renewable energy (RE) in power systems. This course covers some relevant literature and the state of the art in the following subareas related to RE integration: capacity expansion models, optimal power flow, power dynamics, electricity markets, RE variability and forecasting, machine learning and AI for power systems, microgrids and islanded grids, electrical vehicles and demand response, among others."
30,alcohol,ANTH 249,Gender and Mental Health,"This course examines gender and mental health by considering social, cultural, and biological explanations for problems such as depression, trauma, anxiety, drugs/alcohol use. Cross-cultural similarities and differences of gender are considered with respect to etiology, epidemiology, symptomatology, treatment, and recovery."
31,alcohol,CLIN 228,"Mind, Brain & Behavior II—Psychiatry Emphasis","A five-week intense course with specific emphasis for clinical psychology graduate students. The psychiatry emphasis will examine aspects of psychopathology, including the following disorders: depressive, psychotic, alcohol and drug personality, suicide, anxiety, obsessive-compulsive, gender dysphoria, sexual dysfunctions, child psychiatry, and sleep-wake among others. S/U grades only."
32,alcohol,PSYC 181,Psychopharmacology—Drugs and Behavior,"This course provides an overview of basic principles of psychopharmacology, including psychological effects, brain mode of action, and patterns of use of psychoactive agents. Drugs discussed may include drugs of abuse and psychotherapeutics such as stimulants, opioids, sedative hypnotics, hallucinogens, marijuana, alcohol, cognitive enhancers, anxiolytics, antidepressants, and antipsychotics."
